timestamp,is_random_set,training records,validation records,spatial_dropout_prop,recurr_units,recurrent_regularizer_l1_factor,recurrent_regularizer_l2_factor,recurrent_dropout_prop,conv_units,kernel_size_1,kernel_size_2,dense_units_1,dense_units_2,dropout_prop,lr,lr_decay_rate,lr_decay_step,batch_size,epochs,best_training_step,best_val_rmse,val_loss,val_rmse__last_10_avg,val_loss__last_10_avg,train_rmse__last_10_avg,train_loss__last_10_avg,local_path
20200726-013658,1,7352,1298,0.25,46,0.02016,0.00525,0.00616,22,2,3,53,11,0.63,0.0295,0.19,45,512,120,40,0.697279572,8.461717979,0.738168985,1.144123045,0.615488237,0.926061877,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-013658
20200726-020615,1,7352,1298,0.57,124,0.03076,0.01973,0.01549,28,2,2,70,68,0.56,0.0313,0.46,12,512,120,76,0.693410456,1.746957089,0.69637475,0.906027123,0.570841146,0.58535867,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-020615
20200726-023913,1,7352,1298,0.08,52,0.02344,0.03633,9.00E-05,12,2,7,38,15,0.77,0.0393,0.19,11,512,120,14,0.767704427,3.405572913,0.792367208,0.972846575,0.792996019,0.98197115,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-023913
20200726-030926,1,7352,1298,0.2,104,0.01364,0.01851,0.00164,25,4,3,58,25,0.4,0.0399,0.4,49,512,120,98,0.657103658,15.11301682,0.68565883,6.509146882,0.288574237,5.838287599,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-030926
20200726-034124,1,7352,1298,0.72,28,0.0441,0.01423,0.00479,23,3,6,14,13,0.42,0.032,0.21,51,512,120,98,0.661322713,2.146741402,0.675058126,1.04566778,0.69369337,1.057145951,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-034124
20200726-041050,1,7352,1298,0.05,116,0.00774,0.03069,0.00482,22,2,4,47,41,0.54,0.0237,0.69,22,512,120,105,0.691688001,4.322906631,0.720921052,3.229045769,0.428014028,2.617311264,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-041050
20200726-044320,1,7352,1298,0.22,62,0.0405,0.01492,0.00691,31,4,5,102,48,0.63,0.0063,0.17,16,512,120,32,0.706498384,1.733989205,0.719312072,0.894328257,0.686010402,0.741408497,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-044320
20200726-051342,1,7352,1298,0.4,74,0.01982,0.02686,0.00377,15,2,2,36,35,0.79,0.0223,0.4,28,512,120,68,0.750854611,3.391063469,0.767562324,1.379265344,0.727466446,1.280895435,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-051342
20200726-054315,1,7352,1298,0.28,50,0.01121,0.01953,0.01434,11,4,5,19,15,0.33,0.0225,0.32,13,512,120,31,0.707032442,1.299894263,0.725261861,0.904493961,0.555748552,0.478041891,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-054315
20200726-061300,1,7352,1298,0.38,115,0.03416,0.03186,0.00223,27,4,4,35,5,0.4,0.0366,0.29,28,512,120,25,0.70237577,101.7911723,0.739918822,1.923279526,0.558050156,1.627192358,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-061300
20200726-064640,1,7352,1298,0.07,32,0.01705,0.01879,0.02704,22,5,2,20,12,0.7,0.0268,0.76,41,512,120,47,0.783935666,3.217182393,0.819379288,2.706038908,0.785057914,2.588970464,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-064640
20200726-071547,1,7352,1298,0.19,74,0.01226,0.0082,0.00946,26,3,5,38,16,0.42,0.0284,0.25,31,512,120,51,0.675559044,3.561648492,0.683801204,0.991372504,0.438014901,0.507448154,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-071547
20200726-074527,1,7352,1298,0.07,111,0.0097,0.03178,0.02334,24,2,7,70,43,0.49,0.0397,0.07,24,512,120,36,0.706077218,2.875691309,0.711404192,0.866012855,0.396586812,0.257806795,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-074527
20200726-081919,1,7352,1298,0.49,58,0.01022,0.04459,0.00499,22,2,7,57,40,0.55,0.0189,0.44,11,512,120,66,0.700212121,0.883859238,0.707928413,0.838198727,0.622439653,0.593231247,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-081919
20200726-104209,1,7352,1298,0.41,126,0.00721,0.01624,0.00095,14,3,4,61,59,0.33,0.0266,0.08,25,512,120,42,0.661729217,2.297432036,0.669269884,0.784296655,0.486402917,0.368152932,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-104209
20200726-111716,1,7352,1298,0.24,80,0.02792,0.01779,0.00399,13,6,3,52,11,0.21,0.0097,0.22,49,512,120,56,0.700877786,3.841682939,0.708927083,1.379665821,0.351946524,0.710047571,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-111716
20200726-114738,1,7352,1298,0.04,58,0.0212,0.0244,0.00119,20,3,4,39,18,0.46,0.0049,0.2,43,512,120,82,0.722525775,1.35097347,0.74283694,1.003866019,0.4776436,0.450557752,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-114738
20200726-121705,1,7352,1298,0.41,126,0.00721,0.01624,0.00095,14,3,4,61,59,0.33,0.0266,0.08,25,512,120,36,0.678690612,2.398064222,0.690638858,0.858837124,0.481254148,0.357546199,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-121705
20200726-125040,1,7352,1298,0.31,108,0.00771,0.00938,4.00E-05,20,3,3,31,11,0.26,0.0108,0.02,27,512,120,49,0.682518601,0.932303457,0.683686846,0.796672651,0.566238117,0.499268767,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-125040
20200726-132238,1,7352,1298,0.01,121,0.0093,0.03461,0.00015,21,4,2,44,25,0.13,0.0104,0.09,32,512,120,41,0.68918103,1.71701043,0.70460394,0.928743885,0.28989681,0.146969313,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-132238
20200726-135607,1,7352,1298,0.41,126,0.00721,0.01624,0.00095,14,3,4,61,59,0.33,0.0266,0.08,25,512,120,48,0.669057071,2.288846959,0.676892996,0.802840098,0.491506904,0.373912917,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-135607
20200726-142936,1,7352,1298,0.15,94,0.00697,0.02221,5.00E-05,28,3,5,36,19,0.22,0.0219,0.06,39,512,120,72,0.683267176,1.355213277,0.693418187,0.880126158,0.280489376,0.157218865,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-142936
20200726-150131,1,7352,1298,0.31,10,0.00961,0.04213,0.01456,14,4,4,40,11,0.09,0.0236,0.17,58,512,120,54,0.680860043,1.011231436,0.700320685,0.90609337,0.393659723,0.271287862,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-150131
20200726-153014,1,7352,1298,0.18,88,0.0292,0.02912,0.01348,29,4,2,51,8,0.15,0.0157,0.29,45,512,120,91,0.692571759,3.444040855,0.702868378,2.672403863,0.280466431,1.93662652,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-153014
20200726-160040,1,7352,1298,0.14,73,0.03926,0.012,0.00227,22,3,2,29,26,0.12,0.0145,0.07,45,512,120,54,0.67123276,1.756622913,0.676956606,0.955164585,0.271228427,0.211743742,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-160040
20200726-163002,1,7352,1298,0.7,90,0.02823,0.02284,0.00721,21,3,4,53,30,0.21,0.0126,0.19,36,512,120,67,0.653842568,4.003557512,0.662152511,0.894548357,0.561654311,0.621061607,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200726-163002
